advert_id,manufacturer_id,model_id,Year,Engine size (litres),Mileage (miles),fuel_type_id,transmission_type_id,Colour,body_type_id,Mpg,wheel_drive_type_id,Doors,Seats,Engine power (bhp),Top speed (mph),Acceleration (0-62 mph) (seconds),CO2 rating (g/km),Tank range (miles),price,status
29928664,15,162,2015,1.248,24312,1,2,BLACK,2,56.5,2,5,5,84,104,12.9,115,534,8289,
29928666,31,191,2019,1.496,39594,1,3,BLACK,2,47.9,2,5,5,89,117,12.0,118,464,13989,
29928668,31,191,2016,1.496,48665,1,2,GREY,2,62.8,2,5,5,89,114,9.4,105,608,11387,
29928670,10,80,2016,1.364,67000,1,2,BLACK,2,48.7,2,5,5,148,129,8.9,133,482,7741,
29928708,4,4,2021,2.997,7000,2,3,WHITE,8,31.7,3,5,2,295,130,6.5,232,621,71388,
29928710,1,1,2015,1.995,96000,2,2,BLUE,6,56.5,3,5,5,190,142,7.6,133,708,11499,
29928714,1,1,2014,1.995,136000,2,3,BLACK,6,58.9,1,5,5,218,148,6.7,127,739,9999,
29928721,5,46,2015,0.999,29000,1,2,WHITE,2,60.1,2,5,5,59,100,15.5,106,595,9999,
29928739,11,37,2017,1.968,37947,2,3,WHITE,2,56.5,3,5,5,181,143,6.9,130,684,21695,
29928761,3,278,2018,1.969,113000,2,3,BLACK,6,58.9,2,5,5,190,137,8.2,127,713,16979,inactive on: 18/09/2023
29928775,22,159,2020,1.199,6246,1,2,Cumulus Grey,3,50.4,2,5,5,130,122,8.9,132,488,19995,
29928799,17,56,2017,1.499,8554,2,2,RED,2,64.2,2,5,5,118,108,12.7,115,847,16995,inactive on: 18/09/2023
29928812,9,70,2018,1.461,73200,2,2,RED,2,74.3,2,5,5,108,113,11.5,99,899,11995,
29928823,14,89,2014,1.597,123755,2,2,BLUE,6,60.1,2,5,5,118,113,11.2,124,767,8195,
29928830,10,43,2014,1.398,81948,1,2,RED,2,55.4,2,3,4,99,115,11.5,120,463,5295,
29928838,11,13,2015,1.984,63000,1,3,SILVER,7,45.6,2,2,4,222,146,7.6,145,632,14495,
29928845,10,131,2019,1.199,35000,1,2,BLUE,2,44.1,2,5,5,128,117,9.5,121,514,13495,
29928878,11,30,2011,1.968,92822,2,3,BLUE,1,56.5,2,4,5,175,138,8.2,132,808,8495,
29928881,8,279,2013,5.461,43349,1,3,SILVER,6,23.0,3,5,7,550,155,4.9,288,506,36767,
29928885,11,84,2018,0.999,16260,1,3,BLACK,2,64.2,2,3,4,94,116,10.9,102,635,15995,
29928899,3,195,2013,2.4,142000,2,3,GREY,6,34.4,3,5,7,200,127,9.7,215,515,8495,
29928918,24,62,2009,1.149,66000,1,2,GREEN,2,47.9,2,3,5,75,104,13.4,139,580,2995,
29928922,15,26,2016,1.685,75000,2,2,BLACK,6,61.4,2,5,5,114,109,11.1,119,837,12495,
29928940,2,95,2015,1.395,65000,1,2,WHITE,2,60.1,2,5,5,148,134,8.1,109,661,7250,inactive on: 13/09/2023
29928944,28,183,2007,2.72,89000,2,3,GREY,1,34.9,1,4,5,204,141,7.8,214,653,6995,
29928964,22,175,2011,1.997,92000,2,2,RED,7,47.9,2,2,4,140,129,11.1,155,632,3290,
29928977,32,227,2019,0.998,39000,1,2,WHITE,2,45.6,2,5,5,75,98,15.2,124,502,8500,
